OIL TYPE,FREQUENCY (MHZ),S21 (db),PHASE (DEG)
1,0.15517360273088343,0.00848492289694569,0.9890189653881944
1,0.1379340068269812,0.0069432756589415945,0.0010788610266131982
1,0.2069010102404718,0.0,0.9801166164147741
1,0.17241319863478566,0.03911300446698274,0.0
1,0.2069010102404718,0.03838529178864203,0.9781367961150949
1,0.18966141433656958,0.03768034168696843,0.9881760964836335
1,0.27586801365373503,0.07490888071582091,0.9727748875336951
1,0.2586197979521785,0.06677505331961164,0.990769496300649
1,0.34482639726934394,0.05917787091273752,0.96442746914787
1,0.15517360273088343,0.35774907087300667,0.04508845934288619
1,0.29310760955786463,0.34551866945151843,0.013342910796653562
1,0.3103472054615395,0.3450172029897609,0.01319070285994528
1,0.29310760955786463,0.40771913463581244,0.008022056466072514
1,0.3275868013654417,0.39211159456678013,0.0058257936875877325
1,0.3103472054615395,0.38703278086950244,0.010115823257819623
1,0.17241319863478566,0.3920584818878865,0.04238725720739489
1,0.27586801365373503,0.3909700168581023,0.016777503834522756
1,0.03448781160568615,0.38428885571837323,0.07441571701947264
1,0.18966141433656958,0.3530765346805098,1.0
1,0.3793142088750301,0.34556143550465324,0.9491812609408181
1,0.29310760955786463,0.34400254389038665,0.9653368068394705
1,0.18966141433656958,0.3632769281281987,0.993031110743702
1,0.2069010102404718,0.34736450748681813,0.9864867280264804
1,0.12069441092307898,0.34250987068097327,0.005380899663411043
1,0.7931076095576373,0.35247367128632057,0.8905395924960648
1,0.1379340068269812,0.3372662007466123,0.021393453885742875
1,0.22414060614437403,0.3340139113832197,0.011973597927514457
2,0.3275868013654417,0.4459533656883816,0.04534316326633209
2,0.0689670034134906,0.4450021658936585,0.11469943261349685
2,0.15517360273088343,0.44176091293107467,0.09647721014302524
2,0.18966141433656958,0.47163300104569883,0.08770612305997727
2,0.2586197979521785,0.4696071317222019,0.0704840044818954
2,0.22414060614437403,0.46880975176375506,0.08564475281989642
2,0.2413802020480489,0.4503906885886373,0.08087156778084742
2,0.3275868013654417,0.447404652394761,0.05503950703619592
2,0.2586197979521785,0.44407303890055383,0.07420290518869882
2,0.2069010102404718,0.5161910897618069,0.09609990202835933
2,0.18966141433656958,0.5057872126742029,0.0934651686799075
2,0.2413802020480489,0.502138302656737,0.08018844738967579
2,0.4655208081924229,0.5072681597077562,0.044990711126651484
2,0.17241319863478566,0.5065742460068923,0.10511452181014058
2,0.2586197979521785,0.5042193539842779,0.09081675058118294
2,0.0,0.4997647867077588,0.15240399170201424
2,0.3793142088750301,0.49791825889740826,0.0550825162513392
2,0.4482812122885207,0.497053970759056,0.047514849350449195
2,0.29310760955786463,0.4905749137091413,0.05627588233125591
2,0.27586801365373503,0.48970924602068866,0.06043492929173322
2,0.10345481501940412,0.48563819367227934,0.10490366494369147
2,0.22414060614437403,0.4823576235318141,0.07298133176638288
2,0.2069010102404718,0.4793433065608643,0.07746378568228818
2,0.2586197979521785,0.4789915212850788,0.06140068166813195
2,0.27586801365373503,0.4891608748554921,0.06261694875870938
2,0.0689670034134906,0.4783107133101754,0.11611231325901483
2,0.15517360273088343,0.469240861170356,0.0858866098349228
0,0.2069010102404718,0.8980705612285718,0.08403609646129118
0,0.1379340068269812,0.8975511606155,0.10261440171947483
0,0.17241319863478566,0.894396819309287,0.09203581047793857
0,0.17241319863478566,0.8824099084806463,0.09927811545907594
0,0.7586197979519511,0.8820719187058716,0.9786417354721015
0,0.5862065993173928,0.8806978868051552,0.006891249244545872
0,0.18966141433656958,0.8804130097092742,0.09266279546492961
0,0.3275868013654417,0.8795438931455672,0.061169716597200274
0,1.0,0.8756701164616194,0.921824886584141
0,0.3275868013654417,0.8866078794383578,0.06805733519371465
0,0.2413802020480489,0.8865037234057231,0.08773265471866948
0,0.18966141433656958,0.883769455105301,0.09750328713287171
0,0.3275868013654417,0.8892993816856447,0.06822602068687394
0,0.2586197979521785,0.8872148814828509,0.08462118935561025
0,0.5172395959039022,0.8851386585806638,0.02575833066154881
0,0.22414060614437403,0.888156424426866,0.09078910180001948
0,0.2413802020480489,0.8838315348598518,0.08539647235066028
0,0.2586197979521785,0.8827534164558255,0.08150385909957697
0,0.18966141433656958,0.9920958676956273,0.11084536008767182
0,0.1379340068269812,0.9890808609496275,0.11899476851546714
0,0.29310760955786463,0.9883276265944154,0.0816390309185987
0,0.5517274075095884,1.0,0.04703672093275263
0,0.3103472054615395,0.9988715280172831,0.09644537215259447
0,0.2413802020480489,0.9982107235188464,0.10926211826528753
0,0.3275868013654417,0.9992819441723664,0.09211456761216197
0,0.8275868013654417,0.9959903376310915,0.9894538053101299
0,0.7069010102404718,0.9952881466296213,0.011966057350833392
